Year	terrorism	terrorist	occupation	narcotic	violation	democracy	development
2000	0	0	0	0	0	0	0
2001	7	11	1	0	0	2	2
2002	8	28	5	1	4	9	7
2003	19	26	14	5	15	52	55
2004	31	50	35	12	28	71	75
2005	48	75	34	40	95	26	270
2006	77	316	54	262	22	87	101
2007	69	91	28	240	18	46	91
2008	190	176	43	9	24	117	175
2009	227	269	55	760	61	53	164
2010	312	310	354	40	49	100	332
2011	694	1603	389	45	2825	2011	1472	
2012	5502	19658	1353	474	15180	8708	5847
2013	18205	54511	2886	544	11495	16174	6157
2014	22317	57789	2590	854	10032	15542	8554
2015	2403	4990	165	53	772	2366	375																						
